config_index,algorithm_id,success_rate,executed_runs
1,grid_astar,1.0,800
1,grid_dijkstra,1.0,800
1,rrt,1.0,800
1,visibility_astar,1.0,800
1,visibility_dijkstra,1.0,800
2,grid_astar,1.0,800
2,grid_dijkstra,1.0,800
2,rrt,1.0,800
2,visibility_astar,1.0,800
2,visibility_dijkstra,1.0,800
3,grid_astar,1.0,800
3,grid_dijkstra,1.0,800
3,rrt,1.0,800
3,visibility_astar,1.0,800
3,visibility_dijkstra,1.0,800
4,grid_astar,1.0,800
4,grid_dijkstra,1.0,800
4,rrt,1.0,800
4,visibility_astar,1.0,800
4,visibility_dijkstra,1.0,800
5,grid_astar,1.0,800
5,grid_dijkstra,1.0,800
5,rrt,1.0,800
5,visibility_astar,1.0,800
5,visibility_dijkstra,1.0,800
6,grid_astar,1.0,800
6,grid_dijkstra,1.0,800
6,rrt,1.0,800
6,visibility_astar,1.0,800
6,visibility_dijkstra,1.0,800
7,grid_astar,1.0,800
7,grid_dijkstra,1.0,800
7,rrt,1.0,800
7,visibility_astar,1.0,800
7,visibility_dijkstra,1.0,800
8,grid_astar,1.0,800
8,grid_dijkstra,1.0,800
8,rrt,1.0,800
8,visibility_astar,1.0,800
8,visibility_dijkstra,1.0,800
9,grid_astar,1.0,800
9,grid_dijkstra,1.0,800
9,rrt,1.0,800
9,visibility_astar,1.0,800
9,visibility_dijkstra,1.0,800
10,grid_astar,1.0,800
10,grid_dijkstra,1.0,800
10,rrt,1.0,800
10,visibility_astar,1.0,800
10,visibility_dijkstra,1.0,800
11,grid_astar,1.0,800
11,grid_dijkstra,1.0,800
11,rrt,1.0,800
11,visibility_astar,1.0,800
11,visibility_dijkstra,1.0,800
12,grid_astar,1.0,800
12,grid_dijkstra,1.0,800
12,rrt,1.0,800
12,visibility_astar,1.0,800
12,visibility_dijkstra,1.0,800
13,grid_astar,0.99375,800
13,grid_dijkstra,0.99375,800
13,rrt,0.99625,800
13,visibility_astar,1.0,800
13,visibility_dijkstra,1.0,800
14,grid_astar,1.0,800
14,grid_dijkstra,1.0,800
14,rrt,1.0,800
14,visibility_astar,1.0,800
14,visibility_dijkstra,1.0,800
15,grid_astar,1.0,800
15,grid_dijkstra,1.0,800
15,rrt,1.0,800
15,visibility_astar,1.0,800
15,visibility_dijkstra,1.0,800
16,grid_astar,1.0,800
16,grid_dijkstra,1.0,800
16,rrt,1.0,800
16,visibility_astar,1.0,800
16,visibility_dijkstra,1.0,800
17,grid_astar,1.0,800
17,grid_dijkstra,1.0,800
17,rrt,0.99875,800
17,visibility_astar,1.0,800
17,visibility_dijkstra,1.0,800
18,grid_astar,1.0,800
18,grid_dijkstra,1.0,800
18,rrt,0.99625,800
18,visibility_astar,1.0,800
18,visibility_dijkstra,1.0,800
19,grid_astar,1.0,800
19,grid_dijkstra,1.0,800
19,rrt,0.9975,800
19,visibility_astar,1.0,800
19,visibility_dijkstra,1.0,800
20,grid_astar,1.0,800
20,grid_dijkstra,1.0,800
20,rrt,0.99625,800
20,visibility_astar,1.0,800
20,visibility_dijkstra,1.0,800
21,grid_astar,1.0,800
21,grid_dijkstra,1.0,800
21,rrt,1.0,800
21,visibility_astar,1.0,800
21,visibility_dijkstra,1.0,800
22,grid_astar,1.0,800
22,grid_dijkstra,1.0,800
22,rrt,1.0,800
22,visibility_astar,1.0,800
22,visibility_dijkstra,1.0,800
23,grid_astar,1.0,800
23,grid_dijkstra,1.0,800
23,rrt,0.99625,800
23,visibility_astar,1.0,800
23,visibility_dijkstra,1.0,800
24,grid_astar,1.0,800
24,grid_dijkstra,1.0,800
24,rrt,0.9975,800
24,visibility_astar,1.0,800
24,visibility_dijkstra,1.0,800
25,grid_astar,1.0,800
25,grid_dijkstra,1.0,800
25,rrt,1.0,800
25,visibility_astar,1.0,800
25,visibility_dijkstra,1.0,800
26,grid_astar,0.24133333333333334,750
26,grid_dijkstra,0.24133333333333334,750
26,rrt,0.48933333333333334,750
26,visibility_astar,0.5013333333333333,750
26,visibility_dijkstra,0.5013333333333333,750
27,grid_astar,0.795,800
27,grid_dijkstra,0.795,800
27,rrt,0.87125,800
27,visibility_astar,0.90625,800
27,visibility_dijkstra,0.90625,800
28,grid_astar,0.99875,800
28,grid_dijkstra,0.99875,800
28,rrt,1.0,800
28,visibility_astar,1.0,800
28,visibility_dijkstra,1.0,800
29,grid_astar,0.3413705583756345,788
29,grid_dijkstra,0.3413705583756345,788
29,rrt,0.48350253807106597,788
29,visibility_astar,0.5190355329949239,788
29,visibility_dijkstra,0.5190355329949239,788
30,grid_astar,0.9625,800
30,grid_dijkstra,0.9625,800
30,rrt,1.0,800
30,visibility_astar,1.0,800
30,visibility_dijkstra,1.0,800
31,grid_astar,0.73125,800
31,grid_dijkstra,0.73125,800
31,rrt,0.8025,800
31,visibility_astar,0.8825,800
31,visibility_dijkstra,0.8825,800
32,grid_astar,0.965,800
32,grid_dijkstra,0.965,800
32,rrt,1.0,800
32,visibility_astar,1.0,800
32,visibility_dijkstra,1.0,800
33,grid_astar,0.99875,800
33,grid_dijkstra,0.99875,800
33,rrt,1.0,800
33,visibility_astar,1.0,800
33,visibility_dijkstra,1.0,800
34,grid_astar,0.9875,800
34,grid_dijkstra,0.9875,800
34,rrt,0.9975,800
34,visibility_astar,0.99875,800
34,visibility_dijkstra,0.99875,800
35,grid_astar,0.97875,800
35,grid_dijkstra,0.97875,800
35,rrt,0.99875,800
35,visibility_astar,1.0,800
35,visibility_dijkstra,1.0,800
36,grid_astar,1.0,800
36,grid_dijkstra,1.0,800
36,rrt,1.0,800
36,visibility_astar,1.0,800
36,visibility_dijkstra,1.0,800
37,grid_astar,0.8475,800
37,grid_dijkstra,0.8475,800
37,rrt,0.865,800
37,visibility_astar,0.9225,800
