metric_quantile_rank,metric_value,median_relative_path_length,q25_relative_path_length,q75_relative_path_length,sample_count,algorithm_id,algorithm_label,metric,metric_label,quantile_count
1,0.0457,1.0285634154085428,1.0141427680564763,1.0447337932621645,6722,grid_astar,Grid A*,scene_metric_obstacle_area_ratio,obstacle area ratio,6
2,0.0731,1.029450073870244,1.018239580003582,1.0511845468882222,6718,grid_astar,Grid A*,scene_metric_obstacle_area_ratio,obstacle area ratio,6
3,0.1179,1.0645746522180868,1.0406870970737627,1.078729190090611,6717,grid_astar,Grid A*,scene_metric_obstacle_area_ratio,obstacle area ratio,6
4,0.1904,1.0771865583896283,1.0537910363829561,1.129114575768994,6718,grid_astar,Grid A*,scene_metric_obstacle_area_ratio,obstacle area ratio,6
5,0.3119,1.1044918255010938,1.0744567285505637,1.2220351474132536,6716,grid_astar,Grid A*,scene_metric_obstacle_area_ratio,obstacle area ratio,6
6,0.4123,1.1310395769195445,1.0874160826093013,1.2446553926815591,6718,grid_astar,Grid A*,scene_metric_obstacle_area_ratio,obstacle area ratio,6
1,0.990453790813503,1.1387153695582881,1.0884655570936903,1.2440266731903018,6719,grid_astar,Grid A*,scene_metric_largest_component_ratio,largest component ratio,5
2,0.9984949031949101,1.0855036719188234,1.0623108849764973,1.138494165678591,6719,grid_astar,Grid A*,scene_metric_largest_component_ratio,largest component ratio,5
3,0.99958909738392,1.077479197289965,1.0551367215794556,1.1121953099228625,6717,grid_astar,Grid A*,scene_metric_largest_component_ratio,largest component ratio,5
4,0.9998930338279755,1.0611897873063665,1.0334902815356908,1.0791097191400945,6718,grid_astar,Grid A*,scene_metric_largest_component_ratio,largest component ratio,5
5,1.0,1.0311969815729465,1.0172753973225044,1.0553159856137315,13436,grid_astar,Grid A*,scene_metric_largest_component_ratio,largest component ratio,5
1,0.0087690709894968,1.022465039467138,1.0138626061485323,1.0327771570233466,6719,grid_astar,Grid A*,scene_metric_boundary_density,boundary density,6
2,0.02140386073275897,1.0602022199550611,1.0355779597856936,1.0760247658918014,6718,grid_astar,Grid A*,scene_metric_boundary_density,boundary density,6
3,0.032016844321449515,1.061371181460771,1.0412592935145808,1.0793993993736073,6718,grid_astar,Grid A*,scene_metric_boundary_density,boundary density,6
4,0.04177205052135692,1.070433723601485,1.0449936730999023,1.0928647754691083,6718,grid_astar,Grid A*,scene_metric_boundary_density,boundary density,6
5,0.06158356248522758,1.0943008264591745,1.0720962806611696,1.1568456095220803,6718,grid_astar,Grid A*,scene_metric_boundary_density,boundary density,6
6,0.10876222671397077,1.201572072613454,1.1096480862453189,1.2968502680798522,6718,grid_astar,Grid A*,scene_metric_boundary_density,boundary density,6
1,0.0457,1.0285634154085428,1.0141427680564763,1.0447337932621645,6722,grid_dijkstra,Grid Dijkstra,scene_metric_obstacle_area_ratio,obstacle area ratio,6
2,0.0731,1.029450073870244,1.018239580003582,1.051184546888222,6718,grid_dijkstra,Grid Dijkstra,scene_metric_obstacle_area_ratio,obstacle area ratio,6
3,0.1179,1.0645746522180868,1.0406870970737627,1.0787291900906113,6717,grid_dijkstra,Grid Dijkstra,scene_metric_obstacle_area_ratio,obstacle area ratio,6
4,0.1904,1.0771865583896283,1.053791036382956,1.1291145757689942,6718,grid_dijkstra,Grid Dijkstra,scene_metric_obstacle_area_ratio,obstacle area ratio,6
5,0.3119,1.1044918255010938,1.074456728550564,1.2220351474132536,6716,grid_dijkstra,Grid Dijkstra,scene_metric_obstacle_area_ratio,obstacle area ratio,6
6,0.4123,1.1310395769195447,1.0874160826093013,1.2446553926815591,6718,grid_dijkstra,Grid Dijkstra,scene_metric_obstacle_area_ratio,obstacle area ratio,6
1,0.990453790813503,1.1387153695582881,1.08846555709369,1.2440266731903018,6719,grid_dijkstra,Grid Dijkstra,scene_metric_largest_component_ratio,largest component ratio,5
2,0.9984949031949101,1.0855036719188234,1.0623108849764973,1.138494165678591,6719,grid_dijkstra,Grid Dijkstra,scene_metric_largest_component_ratio,largest component ratio,5
3,0.99958909738392,1.077479197289965,1.0551367215794545,1.112195309922863,6717,grid_dijkstra,Grid Dijkstra,scene_metric_largest_component_ratio,largest component ratio,5
4,0.9998930338279755,1.0611897873063667,1.0334902815356908,1.079109719140094,6718,grid_dijkstra,Grid Dijkstra,scene_metric_largest_component_ratio,largest component ratio,5
5,1.0,1.0311969815729465,1.0172753973225044,1.0553159856137315,13436,grid_dijkstra,Grid Dijkstra,scene_metric_largest_component_ratio,largest component ratio,5
1,0.0087690709894968,1.022465039467138,1.0138626061485323,1.0327771570233466,6719,grid_dijkstra,Grid Dijkstra,scene_metric_boundary_density,boundary density,6
2,0.02140386073275897,1.0602022199550603,1.0355779597856933,1.0760247658918016,6718,grid_dijkstra,Grid Dijkstra,scene_metric_boundary_density,boundary density,6
3,0.032016844321449515,1.0613711814607707,1.0412592935145804,1.079399399373607,6718,grid_dijkstra,Grid Dijkstra,scene_metric_boundary_density,boundary density,6
4,0.04177205052135692,1.0704337236014851,1.0449936730999023,1.0928647754691085,6718,grid_dijkstra,Grid Dijkstra,scene_metric_boundary_density,boundary density,6
5,0.06158356248522758,1.0943008264591745,1.0720962806611696,1.15684560952208,6718,grid_dijkstra,Grid Dijkstra,scene_metric_boundary_density,boundary density,6
6,0.10876222671397077,1.201572072613454,1.1096480862453189,1.2968502680798522,6718,grid_dijkstra,Grid Dijkstra,scene_metric_boundary_density,boundary density,6
1,0.0451,1.009534803031427,1.0024816245708286,1.0243189533046602,6548,rrt,RRT,scene_metric_obstacle_area_ratio,obstacle area ratio,6
2,0.0722,1.0169371620006067,1.0060018347443607,1.0364439917120984,6541,rrt,RRT,scene_metric_obstacle_area_ratio,obstacle area ratio,6
3,0.113,1.0435952935074844,1.0191664988787288,1.0865695406283375,6539,rrt,RRT,scene_metric_obstacle_area_ratio,obstacle area ratio,6
4,0.1839,1.1105410189420502,1.0528385814354344,1.2015815766131017,6528,rrt,RRT,scene_metric_obstacle_area_ratio,obstacle area ratio,6
