beta,gamma,delta,scene_rows,present_classes,majority_share,min_share,normalized_entropy,effective_class_count,balance_objective,meets_min_share_rule,count_visibility_astar,share_visibility_astar,count_grid_astar,share_grid_astar,count_rrt,share_rrt,proxy_status,proxy_accuracy,proxy_balanced_accuracy,proxy_macro_f1,proxy_majority_accuracy,proxy_majority_macro_f1,proxy_macro_f1_gain,proxy_min_class_count,proxy_is_valid,proxy_objective,proxy_objective_for_sort,proxy_macro_f1_gain_for_sort
0.75,1.05,0.4,41217,3,0.39527379479341046,0.2630468010772254,0.9876880376993884,2.9596949795800347,0.8554610439832033,True,10842,0.2630468010772254,14083,0.3416794041293641,16292,0.39527379479341046,ok,0.6304706453178069,0.6105887314946519,0.6106141506649018,0.3952450266860747,0.18885334075207494,0.42176080991282683,10842.0,True,0.5380803927631567,0.5380803927631567,0.42176080991282683
0.6,0.9,0.4,41217,3,0.3916345197370017,0.2722905597205037,0.9901678146572904,2.967769109625288,0.8708238546407925,True,11223,0.2722905597205037,13852,0.3360749205424946,16142,0.3916345197370017,ok,0.619505094614265,0.6010287726434483,0.5996220121191714,0.39165453663270255,0.18762057504125698,0.4120014370779145,11223.0,True,0.5297164420021225,0.5297164420021225,0.4120014370779145
0.6,1.05,0.4,41217,3,0.3643156949802266,0.3058204139068831,0.9976485154200442,2.9922598925163797,0.9391532343467006,True,13596,0.32986389111289033,12605,0.3058204139068831,15016,0.3643156949802266,ok,0.599611838913149,0.5986329648529753,0.5897335087338743,0.364289180009704,0.17801171254475187,0.4117217961891224,12605.0,True,0.5279647207720001,0.5279647207720001,0.4117217961891224
0.45,0.75,0.4,41217,3,0.3875100080064051,0.28376640706504597,0.9926300079894324,2.9758077801394456,0.8888864070480733,True,11696,0.28376640706504597,13549,0.3287235849285489,15972,0.3875100080064051,ok,0.6112566715186802,0.5952124004774625,0.591052692201889,0.3874818049490539,0.18617988529864316,0.4048728069032459,11696.0,True,0.5241280136973695,0.5241280136973695,0.4048728069032459
0.45,0.9,0.4,41217,3,0.3560909333527428,0.2944658757308877,0.9968118435547736,2.9895107367498333,0.9351867859329185,True,14403,0.34944319091636944,12137,0.2944658757308877,14677,0.3560909333527428,ok,0.5888403687530325,0.5940203100155825,0.5822360688678355,0.3561377971858321,0.17507453786523552,0.4071615310026,12137.0,True,0.5213902022680305,0.5213902022680305,0.4071615310026
0.45,0.9,0.8,41217,3,0.40429919693330424,0.2588980275129194,0.9853484952460271,2.9520975910717158,0.8399473258256422,True,10671,0.2588980275129194,13882,0.33680277555377636,16664,0.40429919693330424,ok,0.6184376516254245,0.5940807613122129,0.5923605178548684,0.40426977195536146,0.19192407804113976,0.4004364398137287,10671.0,True,0.5210595140767817,0.5210595140767817,0.4004364398137287
0.45,1.05,0.4,41217,3,0.40393526942766333,0.2659824829560618,0.9869563531859703,2.957316821431745,0.8490035667143688,True,16649,0.40393526942766333,10963,0.2659824829560618,13605,0.33008224761627486,ok,0.5782629791363416,0.5975867620763419,0.5795547664943911,0.4039786511402232,0.19182563819002854,0.38772912830436257,10963.0,True,0.5143404093980402,0.5143404093980402,0.38772912830436257
0.45,1.05,0.8,41217,3,0.3799403158890749,0.3077613606036344,0.9956296095354964,2.985630430365496,0.923450654250056,True,12685,0.3077613606036344,12872,0.3122983235072907,15660,0.3799403158890749,ok,0.5905870936438622,0.5822984211404738,0.5735351937506892,0.3799126637554585,0.18354430379746836,0.38999088995322084,12685.0,True,0.5124397565239361,0.5124397565239361,0.38999088995322084
0.6,1.05,0.8,41217,3,0.404226411432176,0.25467646844748526,0.9842934214507617,2.9486777468419736,0.834743478466071,True,10497,0.25467646844748526,14059,0.3410971201203387,16661,0.404226411432176,,,,,,,,,False,,-inf,-inf
0.6,0.75,0.4,41217,3,0.42458208991435575,0.20469709100613825,0.9614694420089733,2.8756598017211967,0.7415844431007559,True,8437,0.20469709100613825,15280,0.37072081907950605,17500,0.42458208991435575,,,,,,,,,False,,-inf,-inf
0.75,0.9,0.4,41217,3,0.4238057112356552,0.20404202149598466,0.9612070594835309,2.8748309930724996,0.7414433697438603,True,8410,0.20404202149598466,15339,0.37215226726836015,17468,0.4238057112356552,,,,,,,,,False,,-inf,-inf
0.75,1.05,0.8,41217,3,0.4266928694470728,0.20608001552757357,0.9619323806424536,2.8771227057234605,0.7413195267229542,True,8494,0.20608001552757357,15136,0.3672271150253536,17587,0.4266928694470728,,,,,,,,,False,,-inf,-inf
0.6,0.9,0.8,41217,3,0.4284639833078584,0.20593444452531723,0.9616072070479659,2.8760950668191225,0.7390776682654246,True,8488,0.20593444452531723,15069,0.3656015721668244,17660,0.4284639833078584,,,,,,,,,False,,-inf,-inf
0.45,0.75,0.8,41217,3,0.4328068515418395,0.2030472863138996,0.9594304509869491,2.869225358981094,0.7296708857590093,True,8369,0.2030472863138996,15009,0.36414586214426087,17839,0.4328068515418395,,,,,,,,,False,,-inf,-inf
0.75,0.9,0.8,41217,3,0.4522648421767717,0.1562219472547735,0.9248258122266922,2.762193200930461,0.6287829173046942,True,6439,0.1562219472547735,16137,0.3915132105684548,18641,0.4522648421767717,,,,,,,,,False,,-inf,-inf
0.6,0.75,0.8,41217,3,0.4585729189412136,0.14843389863405876,0.9172624949815267,2.7393368044214106,0.6071234746743719,True,6118,0.14843389863405876,16198,0.39299318242472764,18901,0.4585729189412136,,,,,,,,,False,,-inf,-inf
